ID,PROVINCIA,COMUNIDAD,P_FELICIDAD,P_SALUD,S_NIVEL_VIDA,S_LABORAL,S_AMOR,S_SEXO,PAREJA,AÑOS_PAREJA,S_PAREJA,CONVIVE_PAREJA,CASADO,AFINIDAD_GEN,AFINIDAD_GUSTOS,AFINIDAD_SOCIAL,AFINIDAD_ECONOMI,AFINIDAD_SEX,IMPORTANCIA_SEX,IMPORTANCIA_SEX_PAREJA,EDUCACION_S,ATRACION_P,N_PAREJAS,COMUNICACION_SEX,R_EXT_MATRIMONIAL,ATRACCIÓN,F_SEXO,F_ANUAL,SEXO,EDAD,E_CIVIL,ESTUDIOS,SIT_LABORAL,OCUPACION,STATUS,NACIONALIDAD,RELIGION,SIT_ENT,PERCEPCION_EN,BIENESTAR
16891,Segovia,Castilla y León,4,4,4,0,6,3,1,47,4,1,1,3,4,4,4,4,8,5,0,0,4,3,1,1,Regularmente,1,0,68,1,2,2,Comerciante,2,1,1,0,2,3.0
17543,Barcelona,Cataluña,5,4,3,0,5,4,1,8,5,1,0,3,4,4,4,4,9,8,1,0,2,3,1,1,Regularmente,1,0,30,0,2,0,Obrero,1,0,1,0,2,3.0
17642,Coruña,Galicia,5,5,5,5,5,4,1,25,5,1,1,3,3,4,4,4,8,8,0,0,5,3,1,1,Regularmente,0,0,49,1,3,2,Mando,1,1,0,1,1,5.0
17778,Burgos,Castilla y León,4,5,2,4,5,4,1,22,4,1,1,3,4,5,2,4,9,7,0,0,12,3,1,2,Regularmente,0,0,50,1,2,2,Obrero,1,1,1,1,2,3.75
17878,Las Palmas,Islas Canarias,4,5,5,5,6,5,1,0,4,0,0,3,3,4,3,4,9,9,0,0,15,3,1,1,Regularmente,0,0,37,0,4,2,Mando,2,1,2,0,2,4.75
17973,Coruña,Galicia,4,5,4,5,6,5,1,1,4,1,0,4,5,4,5,5,6,6,0,1,7,3,1,1,Regularmente,1,0,51,0,4,2,Mando,2,1,1,0,2,4.5
18004,Barcelona,Cataluña,3,3,4,4,6,5,1,0,0,0,0,3,3,4,3,4,8,0,0,0,30,3,1,1,Regularmente,0,0,51,0,2,2,Comerciante,1,1,1,0,2,3.5
18493,Barcelona,Cataluña,2,3,2,2,5,4,1,0,2,0,0,3,3,4,3,4,8,8,1,0,3,3,1,1,Regularmente,0,0,29,0,2,2,Obrero,1,0,1,0,1,2.25
18509,Valencia,Comunidad Valenciana,4,3,3,4,6,5,1,19,4,1,1,3,4,4,4,5,8,7,0,0,40,3,1,1,Diariamente,1,0,43,1,2,2,Obrero,1,1,0,1,2,3.5
19369,Asturias,Principado de Asturias,5,4,5,5,6,4,1,31,5,1,0,4,5,5,5,5,9,8,0,0,20,3,1,1,Regularmente,0,0,53,0,2,2,Comerciante,2,1,1,0,2,4.75
19937,Cádiz,Andalucía,3,2,4,1,3,4,1,8,4,1,1,4,5,4,4,2,5,3,0,0,12,3,1,2,Regularmente,1,0,38,1,2,2,Obrero,1,1,1,0,2,2.5
20112,Cádiz,Andalucía,3,4,2,5,5,4,1,2,4,0,0,3,3,4,3,4,7,7,1,0,2,3,1,1,Regularmente,0,0,20,0,2,2,Obrero,1,1,1,1,2,3.5
20153,Asturias,Principado de Asturias,4,4,4,0,6,4,1,40,5,1,1,4,5,5,5,5,8,8,0,0,7,3,1,1,Regularmente,0,0,60,1,2,2,Obrero,1,1,1,1,2,3.0
20310,Cádiz,Andalucía,4,5,2,2,5,4,1,2,4,0,0,3,3,4,3,4,7,8,1,0,5,3,1,2,Regularmente,0,1,27,0,2,2,Administrativo,1,1,1,0,2,3.25
20385,Cádiz,Andalucía,4,5,3,5,6,4,1,2,5,0,0,3,3,4,3,4,9,10,1,0,10,3,1,1,Regularmente,0,1,27,0,2,2,Obrero,1,1,0,0,1,4.25
20693,Las Palmas,Islas Canarias,4,4,4,5,6,5,1,7,5,0,0,3,3,4,3,4,8,8,1,0,7,3,1,1,Regularmente,1,0,30,0,2,2,Obrero,0,1,1,1,2,4.25
20699,Huelva,Andalucía,4,5,2,2,5,4,1,9,4,1,0,3,4,5,4,4,7,7,1,0,12,3,1,1,Regularmente,1,0,37,0,2,2,Obrero,1,1,1,0,1,3.25
20894,Vizcaya,País Vasco,4,4,3,0,5,3,1,40,5,1,1,4,2,5,3,4,9,9,0,0,15,3,1,1,Regularmente,1,0,64,1,2,2,Obrero,1,1,0,0,2,2.75
21368,Guipúzcoa,País Vasco,4,5,4,4,6,4,1,35,4,1,1,4,4,4,4,4,8,8,0,0,1,3,1,1,Regularmente,0,0,56,1,1,2,Obrero,1,1,1,0,1,4.25
21882,Barcelona,Cataluña,4,2,2,1,3,2,1,18,2,1,1,3,4,4,2,2,8,3,0,0,4,3,1,1,Mensualmente,1,0,40,1,2,2,Mando,2,1,0,1,2,2.25
22808,Tarragona,Cataluña,4,5,3,4,5,4,1,8,4,1,0,3,2,4,2,4,8,8,1,0,1,3,1,1,Regularmente,0,0,25,0,3,2,Mando,1,1,0,0,2,4.0
22894,Vizcaya,País Vasco,4,5,2,2,3,2,1,11,4,1,1,3,4,4,4,3,6,3,1,0,12,3,1,1,Regularmente,0,0,45,1,2,2,Obrero,1,1,2,0,2,3.25
23629,Barcelona,Cataluña,5,5,4,5,6,5,1,5,5,1,0,4,5,4,4,4,10,10,0,0,10,3,1,2,Regularmente,1,0,49,0,4,2,Obrero,1,0,1,1,2,4.75
24734,Guipúzcoa,País Vasco,1,5,2,4,3,2,1,20,2,1,1,2,4,4,3,4,8,8,1,0,4,2,1,2,Mensualmente,0,0,44,1,4,2,Mando,1,1,0,0,1,3.0
24758,Barcelona,Cataluña,5,5,4,3,4,4,1,3,4,1,0,3,4,4,4,4,10,10,0,0,998,3,1,1,Regularmente,0,0,39,0,2,2,Otro,1,1,0,0,2,4.25
24867,Vizcaya,País Vasco,4,5,4,4,6,5,1,1,4,1,0,3,5,3,4,5,9,9,1,0,8,3,1,2,Diariamente,0,0,31,0,3,2,Mando,1,1,0,0,2,4.25
24971,Madrid,Comunidad de Madrid,3,5,2,3,4,3,1,15,3,1,1,3,4,4,3,3,7,4,0,0,20,3,1,1,Mensualmente,1,0,44,1,4,2,Mando,1,1,0,1,2,3.25
25741,Gerona,Cataluña,5,4,2,3,5,4,1,8,4,1,0,3,3,4,4,4,10,10,1,0,20,3,1,1,Regularmente,0,0,33,0,4,2,Director,2,0,1,0,2,3.5
26088,Guipúzcoa,País Vasco,5,4,4,4,6,4,1,8,5,1,0,4,4,4,4,4,8,8,0,0,15,3,1,1,Regularmente,1,0,32,0,2,2,Obrero,1,1,0,1,1,4.25
26344,Huelva,Andalucía,4,4,5,0,5,5,1,6,4,0,0,3,3,4,3,4,7,8,1,0,2,3,1,2,Regularmente,0,1,19,0,2,1,Comerciante,2,1,0,1,1,3.25
26596,Santander,Cantabria,4,4,4,4,5,4,1,0,4,0,0,3,3,4,3,4,8,8,0,0,6,3,1,1,Regularmente,0,1,33,0,2,2,Obrero,1,1,0,0,2,4.0
26627,Barcelona,Cataluña,3,4,2,5,2,4,1,3,1,0,0,3,3,4,3,4,4,4,1,0,3,3,1,1,Regularmente,0,0,20,0,2,2,Mando,1,1,0,0,0,3.5
27068,Barcelona,Cataluña,5,4,4,4,6,4,1,38,5,1,1,3,4,4,4,4,8,5,0,0,80,3,1,1,Regularmente,0,0,52,1,4,2,Obrero,1,1,1,0,2,4.25
