,COMUNIDAD,S_AMOR,AÑOS_PAREJA,S_PAREJA,CONVIVE_PAREJA,AFINIDAD_GEN,AFINIDAD_GUSTOS,AFINIDAD_SOCIAL,AFINIDAD_ECONOMI,AFINIDAD_SEX,IMPORTANCIA_SEX,IMPORTANCIA_SEX_PAREJA,EDUCACION_S,ATRACION_P,N_PAREJAS,COMUNICACION_SEX,R_EXT_MATRIMONIAL,ATRACCIÓN,F_ANUAL,SEXO,EDAD,ESTUDIOS,SIT_LABORAL,STATUS,NACIONALIDAD,RELIGION,BIENESTAR,OCUPACION_Agricultor,OCUPACION_Autónomo,OCUPACION_Comerciante,OCUPACION_Director,OCUPACION_Mando,OCUPACION_Obrero,OCUPACION_Otro,F_SEXO_Diariamente,F_SEXO_Mensualmente,F_SEXO_Ocasionalmente,F_SEXO_Regularmente,F_SEXO_Sin actividad sexual
22,2,4,38,4,1,3,2,4,5,2,7,4,0,0,1,3,1,1,0,0,66,3,2,1,1,0,3.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,12,2,0,0,0,0,0,0,0,0,5,0,0,1,2,3,0,1,0,1,49,4,2,1,1,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,12,4,27,4,1,3,4,5,5,4,7,7,1,0,1,3,0,1,1,1,48,2,2,1,1,1,3.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,15,5,34,4,1,3,3,4,4,5,7,7,0,0,1,3,0,1,0,1,62,2,2,1,1,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26,12,4,3,4,0,3,3,4,3,4,7,10,1,0,1,3,0,1,0,1,26,3,2,1,1,0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
27,2,4,34,4,1,3,3,4,3,4,7,5,0,0,6,3,1,1,0,0,56,2,2,1,1,1,3.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
28,1,0,0,0,0,0,0,0,0,0,10,0,0,0,5,3,0,2,0,0,30,2,2,1,1,0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
29,12,5,42,4,1,3,4,4,5,4,4,4,0,0,1,3,0,2,1,0,71,4,2,2,1,1,3.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
30,12,5,13,4,1,4,4,5,5,4,5,10,1,0,1,3,0,1,0,1,33,3,2,1,1,1,4.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
31,3,4,25,3,1,2,5,4,4,5,8,10,1,0,1,3,1,1,1,1,41,1,2,1,1,1,2.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
