ID,PROVINCIA,COMUNIDAD,P_FELICIDAD,P_SALUD,S_NIVEL_VIDA,S_LABORAL,S_AMOR,S_SEXO,PAREJA,AÑOS_PAREJA,S_PAREJA,CONVIVE_PAREJA,CASADO,AFINIDAD_GEN,AFINIDAD_GUSTOS,AFINIDAD_SOCIAL,AFINIDAD_ECONOMI,AFINIDAD_SEX,IMPORTANCIA_SEX,IMPORTANCIA_SEX_PAREJA,EDUCACION_S,ATRACION_P,N_PAREJAS,COMUNICACION_SEX,R_EXT_MATRIMONIAL,ATRACCIÓN,F_SEXO,F_ANUAL,SEXO,EDAD,E_CIVIL,ESTUDIOS,SIT_LABORAL,OCUPACION,STATUS,NACIONALIDAD,RELIGION,SIT_ENT,PERCEPCION_EN,BIENESTAR
3,Madrid,Comunidad de Madrid,4,2,1,0,5,4,1,14,5,1,1,3,5,5,4,5,7,7,0,0,3,3,0,1,Mensualmente,0,1,38,1,2,2,Obrero,1,1,1,1,1,1.75
6,Granada,Andalucía,4,5,4,4,5,4,1,38,4,1,1,3,5,4,4,4,8,8,0,0,1,3,0,1,Regularmente,1,1,61,1,1,2,Mando,1,1,1,0,2,4.25
17,Granada,Andalucía,4,5,4,4,5,5,1,24,5,1,1,4,5,5,4,5,7,7,0,0,30,3,1,1,Regularmente,1,0,49,1,2,2,Obrero,1,1,0,0,2,4.25
24,Jaén,Andalucía,5,4,5,5,6,5,1,17,5,1,1,3,4,4,4,5,9,9,0,0,3,3,0,1,Regularmente,0,0,40,1,2,2,Obrero,1,1,1,0,2,4.75
26,Sevilla,Andalucía,4,3,2,1,5,4,1,16,4,1,1,3,4,5,3,4,10,7,0,0,3,3,1,1,Regularmente,0,0,34,1,2,2,Obrero,1,1,0,0,1,2.5
32,Madrid,Comunidad de Madrid,2,2,4,2,5,2,1,17,2,1,1,2,4,3,4,3,8,8,0,0,5,1,0,1,Mensualmente,1,1,46,1,4,2,Mando,1,1,0,1,1,2.5
37,Madrid,Comunidad de Madrid,5,4,3,4,6,5,1,4,5,1,0,4,5,5,3,5,8,8,0,0,100,3,1,2,Regularmente,1,0,28,0,2,0,Mando,1,0,1,0,2,4.0
42,Sevilla,Andalucía,3,5,5,4,4,2,1,32,4,1,1,3,4,4,4,4,6,6,0,0,5,3,0,2,Mensualmente,1,0,61,1,1,2,Obrero,1,1,1,0,2,4.25
51,Madrid,Comunidad de Madrid,2,3,1,1,2,1,1,40,2,1,1,0,2,4,3,3,1,0,0,0,1,3,0,1,Mensualmente,1,1,49,1,2,2,Administrativo,1,1,1,1,2,1.75
63,Santander,Cantabria,4,5,4,0,5,4,1,45,4,1,1,3,4,4,4,4,5,10,0,0,1,3,0,1,Mensualmente,1,1,68,1,1,2,Agricultor,0,1,1,0,2,3.25
65,Sevilla,Andalucía,3,5,3,4,5,0,1,47,4,1,1,4,4,4,4,0,5,5,0,0,3,3,0,1,Sin actividad sexual,0,0,74,1,2,2,Mando,1,1,1,0,2,3.75
69,Madrid,Comunidad de Madrid,4,4,4,4,5,2,1,7,4,1,1,3,4,4,4,4,6,8,0,0,4,3,0,1,Regularmente,0,1,30,1,2,2,Administrativo,1,1,1,0,2,4.0
73,Vizcaya,País Vasco,4,3,2,0,6,4,1,39,5,1,1,3,4,5,4,4,10,10,0,0,1,3,0,1,Regularmente,1,1,62,1,1,2,Comerciante,1,1,1,0,2,2.25
77,Madrid,Comunidad de Madrid,5,3,1,5,6,5,1,4,5,1,1,3,5,5,1,5,10,9,1,0,1,3,0,1,Regularmente,0,1,33,1,4,2,Obrero,1,1,1,1,2,3.5
100,Álava,País Vasco,3,5,2,4,5,4,1,33,4,1,1,2,2,5,4,4,8,8,0,0,1,3,0,1,Regularmente,0,1,50,1,2,2,Administrativo,1,1,1,0,2,3.5
106,Madrid,Comunidad de Madrid,3,3,2,0,4,4,1,45,5,1,1,3,5,5,4,4,5,3,1,0,4,3,0,1,Regularmente,0,0,69,1,4,2,Comerciante,1,1,1,0,2,2.0
144,Madrid,Comunidad de Madrid,4,2,2,4,6,5,1,5,5,0,0,3,3,4,3,4,6,7,1,0,4,3,1,1,Regularmente,1,0,31,0,2,2,Obrero,1,1,0,0,2,3.0
214,Madrid,Comunidad de Madrid,4,5,5,5,6,5,1,1,5,0,0,3,3,4,3,4,6,8,1,0,1,3,0,1,Regularmente,1,1,19,0,2,2,Obrero,1,1,1,0,1,4.75
226,Granada,Andalucía,4,5,4,1,5,5,1,22,4,1,1,3,4,5,4,4,7,9,0,0,1,3,0,1,Regularmente,1,1,43,1,1,2,Obrero,1,1,1,0,2,3.5
239,Madrid,Comunidad de Madrid,4,5,3,4,5,4,1,12,5,0,0,3,3,4,3,4,7,8,0,0,1,3,0,1,Regularmente,0,0,31,0,1,2,Otro,1,1,0,0,2,4.0
252,Zaragoza,Aragón,4,4,4,4,5,4,1,3,4,0,0,3,3,4,3,4,7,7,1,1,4,3,1,1,Regularmente,0,1,48,0,3,2,Director,2,1,2,0,2,4.0
253,Huesca,Aragón,4,5,4,0,5,4,1,38,4,1,1,3,2,4,5,2,7,4,0,0,2,3,1,1,Mensualmente,0,0,66,1,3,2,Mando,1,1,0,0,2,3.25
279,Madrid,Comunidad de Madrid,4,5,4,0,5,4,1,27,4,1,1,3,4,5,5,4,7,7,1,0,1,3,0,1,Regularmente,1,1,48,1,2,2,Comerciante,1,1,1,1,2,3.25
289,Álava,País Vasco,4,4,4,4,6,4,1,34,4,1,1,3,3,4,4,5,7,7,0,0,1,3,0,1,Regularmente,0,1,62,1,2,2,Administrativo,1,1,1,0,1,4.0
301,Madrid,Comunidad de Madrid,4,4,4,4,5,4,1,3,4,0,0,3,3,4,3,4,7,10,1,0,2,3,0,1,Mensualmente,0,1,26,0,3,2,Obrero,1,1,0,0,2,4.0
324,Zaragoza,Aragón,4,5,3,2,5,4,1,34,4,1,1,3,3,4,3,4,7,5,0,0,998,3,1,1,Regularmente,0,0,56,1,2,2,Obrero,1,1,1,0,2,3.5
363,Madrid,Comunidad de Madrid,4,5,4,0,6,3,1,42,4,1,1,3,4,4,5,4,4,4,0,0,1,3,0,2,Ocasionalmente,1,0,71,1,4,2,Director,2,1,1,0,2,3.25
391,Madrid,Comunidad de Madrid,4,5,4,5,6,4,1,13,4,1,0,4,4,5,5,4,5,10,1,0,2,3,0,1,Regularmente,0,1,33,0,3,2,Mando,1,1,1,1,2,4.5
412,Asturias,Principado de Asturias,3,5,2,1,5,4,1,25,3,1,1,2,5,4,4,5,8,10,1,0,1,3,1,1,Diariamente,1,1,41,1,1,2,Obrero,1,1,1,1,2,2.75
417,Granada,Andalucía,4,5,5,5,6,4,1,32,4,1,1,4,5,5,5,5,7,7,0,0,1,3,1,1,Regularmente,0,1,56,1,2,2,Director,2,1,0,1,2,4.75
432,Asturias,Principado de Asturias,5,5,5,0,6,5,1,12,5,1,1,3,4,4,4,4,8,8,0,0,4,3,0,1,Diariamente,0,0,48,1,2,2,Obrero,1,1,1,0,1,3.75
452,Granada,Andalucía,5,4,4,5,5,4,1,1,5,0,0,3,3,4,3,4,8,8,0,0,50,3,0,1,Regularmente,0,0,24,0,2,2,Comerciante,1,1,2,0,2,4.5
457,Rioja,La Rioja,5,5,5,5,6,5,1,20,4,1,1,3,4,5,5,5,8,8,0,0,1,3,0,1,Regularmente,0,1,42,1,2,2,Comerciante,1,1,1,0,2,5.0
466,Málaga,Andalucía,4,5,4,0,6,5,1,2,4,0,0,3,3,4,3,4,6,5,1,0,2,3,0,2,Regularmente,0,0,20,0,2,1,Mando,1,1,1,0,2,3.25
480,Madrid,Comunidad de Madrid,4,5,3,4,5,4,1,1,4,0,0,3,3,4,3,4,6,7,1,0,8,3,1,2,Regularmente,1,1,22,0,2,2,Autónomo,2,1,0,0,2,4.0
488,Huesca,Aragón,5,3,2,0,6,4,1,45,4,1,1,4,4,5,4,4,7,7,0,0,1,3,0,1,Sin actividad sexual,0,1,63,1,1,2,Obrero,1,1,1,1,1,2.5
